Name,Id,Sexe,Resource
Aatrox,Aatrox,Male,Manaless
Ahri,Ahri,Female,
Akali,Akali,Female,Energy
Akshan,Akshan,Male,
Alistar,Alistar,Male,
Ambessa,Ambessa,Female,Energy
Amumu,Amumu,Male,
Anivia,Anivia,Female,
Annie,Annie,Female,
Aphelios,Aphelios,Male,
Ashe,Ashe,Female,
Aurelion Sol,AurelionSol,Male,
Aurora,Aurora,Female,
Azir,Azir,Male,
Bard,Bard,Male,
Bel'Veth,Belveth,Female,Manaless
Blitzcrank,Blitzcrank,Male,
Brand,Brand,Male,
Braum,Braum,Male,
Briar,Briar,Female,Frenzy
Caitlyn,Caitlyn,Female,
Camille,Camille,Female,
Cassiopeia,Cassiopeia,Female,
Cho'Gath,Chogath,Male,
Corki,Corki,Male,
Darius,Darius,Male,
Diana,Diana,Female,
Dr. Mundo,Draven,Male,Manaless
Draven,DrMundo,Male,
Ekko,Ekko,Male,
Elise,Elise,Female,
Evelynn,Evelynn,Female,
Ezreal,Ezreal,Male,
Fiddlesticks,Fiddlesticks,Male,
Fiora,Fiora,Female,
Fizz,Fizz,Male,
Galio,Galio,Male,
Gangplank,Gangplank,Male,
Garen,Garen,Male,Manaless
Gnar,Gnar,Male,Fury
Gragas,Gragas,Male,
Graves,Graves,Male,
Gwen,Gwen,Female,
Hecarim,Hecarim,Male,
Heimerdinger,Heimerdinger,Male,
Hwei,Hwei,Male,
Illaoi,Illaoi,Female,
Irelia,Irelia,Female,
Ivern,Ivern,Male,
Janna,Janna,Female,
Jarvan IV,JarvanIV,Male,
Jax,Jax,Male,
Jayce,Jayce,Male,
Jhin,Jhin,Male,
Jinx,Jinx,Female,
K'Sante,Kaisa,Male,
Kai'Sa,Kalista,Female,
Kalista,Karma,Female,
Karma,Karthus,Female,
Karthus,Kassadin,Male,
Kassadin,Katarina,Male,
Katarina,Kayle,Female,Manaless
Kayle,Kayn,Female,
Kayn,Kennen,Male,
Kennen,Khazix,Male,Energy
Kha'Zix,Kindred,Male,
Kindred,Kled,Male,
Kled,KogMaw,Male,Fury
Kog'Maw,KSante,Male,
LeBlanc,Leblanc,Female,
Lee Sin,LeeSin,Male,Energy
Leona,Leona,Female,
Lillia,Lillia,Female,
Lissandra,Lissandra,Female,
Lucian,Lucian,Male,
Lulu,Lulu,Female,
Lux,Lux,Female,
Malphite,Malphite,Male,
Malzahar,Malzahar,Male,
Maokai,Maokai,Male,
Master Yi,MasterYi,Male,
Mel,Mel,Female,
Milio,Milio,Male,
Miss Fortune,MissFortune,Female,
Mordekaiser,MonkeyKing,Male,Manaless
Morgana,Mordekaiser,Female,
Naafiri,Morgana,Female,
Nami,Naafiri,Female,
Nasus,Nami,Male,
Nautilus,Nasus,Male,
Neeko,Nautilus,Female,
Nidalee,Neeko,Female,
Nilah,Nidalee,Female,
Nocturne,Nilah,Male,
Nunu & Willump,Nocturne,Male,
Olaf,Nunu,Male,
Orianna,Olaf,Female,
Ornn,Orianna,Male,
Pantheon,Ornn,Male,
Poppy,Pantheon,Female,
Pyke,Poppy,Male,
Qiyana,Pyke,Female,
Quinn,Qiyana,Female,
Rakan,Quinn,Male,
Rammus,Rakan,Male,
Rek'Sai,Rammus,Female,Fury
Rell,RekSai,Female,
Renata Glasc,Rell,Female,
Renekton,Renata,Male,Fury
Rengar,Renekton,Male,Manaless
Riven,Rengar,Female,Manaless
Rumble,Riven,Male,Heat
Ryze,Rumble,Male,
Samira,Ryze,Female,
Sejuani,Samira,Female,
Senna,Sejuani,Female,
Seraphine,Senna,Female,
Sett,Seraphine,Male,Fury
Shaco,Sett,Male,
Shen,Shaco,Male,Energy
Shyvana,Shen,Female,Fury
Singed,Shyvana,Male,
Sion,Singed,Male,
Sivir,Sion,Female,
Skarner,Sivir,Male,
Smolder,Skarner,Male,
Sona,Smolder,Female,
Soraka,Sona,Female,
Swain,Soraka,Male,
Sylas,Swain,Male,
Syndra,Sylas,Female,
Tahm Kench,Syndra,Male,
Taliyah,TahmKench,Female,
Talon,Taliyah,Male,
Taric,Talon,Male,
Teemo,Taric,Male,
Thresh,Teemo,Male,
Tristana,Thresh,Female,
Trundle,Tristana,Male,
Tryndamere,Trundle,Male,Fury
Twisted Fate,Tryndamere,Male,
Twitch,TwistedFate,Male,
Udyr,Twitch,Male,Fury
Urgot,Udyr,Male,
Varus,Urgot,Male,
Vayne,Varus,Female,
Veigar,Vayne,Male,
Vel'Koz,Veigar,Male,
Vex,Velkoz,Female,
Vi,Vex,Female,
Viego,Vi,Male,Manaless
Viktor,Viego,Male,
Vladimir,Viktor,Male,Fury
Volibear,Vladimir,Male,
Warwick,Volibear,Male,
Wukong,Warwick,Male,
Xayah,Xayah,Female,
Xerath,Xerath,Male,
Xin Zhao,XinZhao,Male,
Yasuo,Yasuo,Male,Manaless
Yone,Yone,Male,Manaless
Yorick,Yorick,Male,
Yunara,Yunara,Female,
Yuumi,Yuumi,Female,
Zaahen,Zaahen,Male,
Zac,Zac,Male,Manaless
Zed,Zed,Male,Energy
Zeri,Zeri,Female,
Ziggs,Ziggs,Male,
Zilean,Zilean,Male,
Zoe,Zoe,Female,
Zyra,Zyra,Female,
