Name,Id,Sexe,Resource
Aatrox,Aatrox,Male,Manaless
Ahri,Ahri,Female,
Akali,Akali,Female,Energy
Akshan,Akshan,Male,
Alistar,Alistar,Male,
Ambessa,Ambessa,Female,Energy
Amumu,Amumu,Male,
Anivia,Anivia,Female,
Annie,Annie,Female,
Aphelios,Aphelios,Male,
Ashe,Ashe,Female,
Aurelion Sol,AurelionSol,Male,
Aurora,Aurora,Female,
Azir,Azir,Male,
Bard,Bard,Male,
Bel'Veth,Belveth,Female,Manaless
Blitzcrank,Blitzcrank,Male,
Brand,Brand,Male,
Braum,Braum,Male,
Briar,Briar,Female,Frenzy
Caitlyn,Caitlyn,Female,
Camille,Camille,Female,
Cassiopeia,Cassiopeia,Female,
Cho'Gath,Chogath,Male,
Corki,Corki,Male,
Darius,Darius,Male,
Diana,Diana,Female,
Dr. Mundo,DrMundo,Male,Manaless
Draven,Draven,Male,
Ekko,Ekko,Male,
Elise,Elise,Female,
Evelynn,Evelynn,Female,
Ezreal,Ezreal,Male,
Fiddlesticks,Fiddlesticks,Male,
Fiora,Fiora,Female,
Fizz,Fizz,Male,
Galio,Galio,Male,
Gangplank,Gangplank,Male,
Garen,Garen,Male,Manaless
Gnar,Gnar,Male,Fury
Gragas,Gragas,Male,
Graves,Graves,Male,
Gwen,Gwen,Female,
Hecarim,Hecarim,Male,
Heimerdinger,Heimerdinger,Male,
Hwei,Hwei,Male,
Illaoi,Illaoi,Female,
Irelia,Irelia,Female,
Ivern,Ivern,Male,
Janna,Janna,Female,
Jarvan IV,JarvanIV,Male,
Jax,Jax,Male,
Jayce,Jayce,Male,
Jhin,Jhin,Male,
Jinx,Jinx,Female,
K'Sante,KSante,Male,
Kai'Sa,Kaisa,Female,
Kalista,Kalista,Female,
Karma,Karma,Female,
Karthus,Karthus,Male,
Kassadin,Kassadin,Male,
Katarina,Katarina,Female,Manaless
Kayle,Kayle,Female,
Kayn,Kayn,Male,
Kennen,Kennen,Male,Energy
Kha'Zix,Khazix,Male,
Kindred,Kindred,Male,
Kled,Kled,Male,Fury
Kog'Maw,KogMaw,Male,
LeBlanc,Leblanc,Female,
Lee Sin,LeeSin,Male,Energy
Leona,Leona,Female,
Lillia,Lillia,Female,
Lissandra,Lissandra,Female,
Locke,Locke,Male,
Lucian,Lucian,Male,
Lulu,Lulu,Female,
Lux,Lux,Female,
Malphite,Malphite,Male,
Malzahar,Malzahar,Male,
Maokai,Maokai,Male,
Master Yi,MasterYi,Male,
Mel,Mel,Female,
Milio,Milio,Male,
Miss Fortune,MissFortune,Female,
Mordekaiser,Mordekaiser,Male,Manaless
Morgana,Morgana,Female,
Naafiri,Naafiri,Female,
Nami,Nami,Female,
Nasus,Nasus,Male,
Nautilus,Nautilus,Male,
Neeko,Neeko,Female,
Nidalee,Nidalee,Female,
Nilah,Nilah,Female,
Nocturne,Nocturne,Male,
Nunu & Willump,Nunu,Male,
Olaf,Olaf,Male,
Orianna,Orianna,Female,
Ornn,Ornn,Male,
Pantheon,Pantheon,Male,
Poppy,Poppy,Female,
Pyke,Pyke,Male,
Qiyana,Qiyana,Female,
Quinn,Quinn,Female,
Rakan,Rakan,Male,
Rammus,Rammus,Male,
Rek'Sai,RekSai,Female,Fury
Rell,Rell,Female,
Renata Glasc,Renata,Female,
Renekton,Renekton,Male,Fury
Rengar,Rengar,Male,Manaless
Riven,Riven,Female,Manaless
Rumble,Rumble,Male,Heat
Ryze,Ryze,Male,
Samira,Samira,Female,
Sejuani,Sejuani,Female,
Senna,Senna,Female,
Seraphine,Seraphine,Female,
Sett,Sett,Male,Fury
Shaco,Shaco,Male,
Shen,Shen,Male,Energy
Shyvana,Shyvana,Female,Fury
Singed,Singed,Male,
Sion,Sion,Male,
Sivir,Sivir,Female,
Skarner,Skarner,Male,
Smolder,Smolder,Male,
Sona,Sona,Female,
Soraka,Soraka,Female,
Swain,Swain,Male,
Sylas,Sylas,Male,
Syndra,Syndra,Female,
Tahm Kench,TahmKench,Male,
Taliyah,Taliyah,Female,
Talon,Talon,Male,
Taric,Taric,Male,
Teemo,Teemo,Male,
Thresh,Thresh,Male,
Tristana,Tristana,Female,
Trundle,Trundle,Male,
Tryndamere,Tryndamere,Male,Fury
Twisted Fate,TwistedFate,Male,
Twitch,Twitch,Male,
Udyr,Udyr,Male,Fury
Urgot,Urgot,Male,
Varus,Varus,Male,
Vayne,Vayne,Female,
Veigar,Veigar,Male,
Vel'Koz,Velkoz,Male,
Vex,Vex,Female,
Vi,Vi,Female,
Viego,Viego,Male,Manaless
Viktor,Viktor,Male,
Vladimir,Vladimir,Male,Fury
Volibear,Volibear,Male,
Warwick,Warwick,Male,
Wukong,MonkeyKing,Male,
Xayah,Xayah,Female,
Xerath,Xerath,Male,
Xin Zhao,XinZhao,Male,
Yasuo,Yasuo,Male,Manaless
Yone,Yone,Male,Manaless
Yorick,Yorick,Male,
Yunara,Yunara,Female,
Yuumi,Yuumi,Female,
Zaahen,Zaahen,Male,
Zac,Zac,Male,Manaless
Zed,Zed,Male,Energy
Zeri,Zeri,Female,
Ziggs,Ziggs,Male,
Zilean,Zilean,Male,
Zoe,Zoe,Female,
Zyra,Zyra,Female,
