Champions,SpellId,SpellName,SpellSlot,Airborne,ForcedAction,Root,Sleep,Stasis,Stun,Supression,Polymorph,Slow,Cripple,Ground,Kinematics,Nearsight,Silence,Drowsy,Blind,AutoTargeted,DirectionFixedDistance,LocationTargeted,UnitTargeted,MiniUnitTargeted,TerrainTargeted,Blink,Reset,Execute,Finisher,InvulnerabilityUntargetableVanished,BlockedByChampion,BlockedByMinion,BlocksAuto,BlocksProjectiles,MultipleCharges,MovementsBuff,PointAndClick,NormalShield,MagicShield,SpellShield,PhysicalShield,AutoReset,PhysicalDamage,MagicDamage,TrueDamage,Temp
Aatrox,Aatrox_Passive.png,Deathbringer Stance,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aatrox,AatroxQ,The Darkin Blade,Q,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
Aatrox,AatroxW,Infernal Chains,W,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,
Aatrox,AatroxE,Umbral Dash,E,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,
Aatrox,AatroxR,World Ender,R,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
Ahri,Ahri_SoulEater2.png,Essence Theft,P,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Ahri,AhriQ,Orb of Deception,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Ahri,AhriW,Fox-Fire,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,
Ahri,AhriE,Charm,E,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,
Ahri,AhriR,Spirit Rush,R,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,1,,
Akali,Akali_P.png,Assassin's Mark,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Akali,AkaliQ,Five Point Strike,Q,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Akali,AkaliW,Twilight Shroud,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Akali,AkaliE,Shuriken Flip,E,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,1,,
Akali,AkaliR,Perfect Execution,R,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,1,,,,,,,1,,
Akshan,akshan_p.png,Dirty Fighting,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
Akshan,AkshanQ,Avengerang,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
Akshan,AkshanW,Going Rogue,W,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
Akshan,AkshanE,Heroic Swing,E,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,
Akshan,AkshanR,Comeuppance,R,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,1,,,,,,1,,,
Alistar,Alistar_E.png,Triumphant Roar,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistar,Pulverize,Pulverize,Q,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Alistar,Headbutt,Headbutt,W,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,
Alistar,AlistarE,Trample,E,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Alistar,FerociousHowl,Unbreakable Will,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Ambessa,Icon_Ambessa_Passive.png,Drakehound's Step,P,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ambessa,AmbessaQ,Cunning Sweep / Sundering Slam,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Ambessa,AmbessaW,Repudiation,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
Ambessa,AmbessaE,Lacerate,E,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,
Ambessa,AmbessaR,Public Execution,R,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
Amumu,Amumu_Passive.png,Cursed Touch,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amumu,BandageToss,Bandage Toss,Q,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,1,,,1,,,,,,,,,1,,
Amumu,AuraofDespair,Despair,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Amumu,Tantrum,Tantrum,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Amumu,CurseoftheSadMummy,Curse of the Sad Mummy,R,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Anivia,Anivia_P.png,Rebirth,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anivia,FlashFrost,Flash Frost,Q,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Anivia,Crystallize,Crystallize,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anivia,Frostbite,Frostbite,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
Anivia,GlacialStorm,Glacial Storm,R,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Annie,Annie_Passive.png,Pyromania,P,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annie,AnnieQ,Disintegrate,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
Annie,AnnieW,Incinerate,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Annie,AnnieE,Molten Shield,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,,
Annie,AnnieR,Summon: Tibbers,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Aphelios,ApheliosP.png,The Hitman and the Seer,P,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Aphelios,ApheliosQ_ClientTooltipWrapper,Weapon Abilites,Q,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,ApheliosW,Phase,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,ApheliosE_ClientTooltipWrapper,Weapon Queue System,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,ApheliosR,Moonlight Vigil,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Ashe,Ashe_P.png,Frost Shot,P,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashe,AsheQ,Ranger's Focus,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
Ashe,Volley,Volley,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,
Ashe,AsheSpiritOfTheHawk,Hawkshot,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Ashe,EnchantedCrystalArrow,Enchanted Crystal Arrow,R,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
Aurelion Sol,AurelionSolP.png,Cosmic Creator,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelion Sol,AurelionSolQ,Breath of Light,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,
Aurelion Sol,AurelionSolW,Astral Flight,W,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
Aurelion Sol,AurelionSolE,Singularity,E,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,
Aurelion Sol,AurelionSolR,Falling Star / The Skies Descend,R,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Aurora,AuroraPassive.png,Spirit Abjuration,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora,AuroraQ,Twofold Hex,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Aurora,AuroraW,Across the Veil,W,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,
Aurora,AuroraE,The Weirding,E,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,
Aurora,AuroraR,Between Worlds,R,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,1,,
Azir,Azir_Passive.png,Shurima's Legacy,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Azir,AzirQWrapper,Conquering Sands,Q,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Azir,AzirW,Arise!,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,
Azir,AzirEWrapper,Shifting Sands,E,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,1,,
Azir,AzirR,Emperor's Divide,R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Bard,Bard_Passive.png,Traveler's Call,P,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Bard,BardQ,Cosmic Binding,Q,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,
Bard,BardW,Caretaker's Shrine,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,
Bard,BardE,Magical Journey,E,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard,BardR,Tempered Fate,R,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Bel'Veth,Belveth_Passive.png,Death in Lavender,P,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Bel'Veth,BelvethQ,Void Surge,Q,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,
Bel'Veth,BelvethW,Above and Below,W,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Bel'Veth,BelvethE,Royal Maelstrom,E,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,
Bel'Veth,BelvethR,Endless Banquet,R,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,1,1,,,,,,,,1,
Blitzcrank,Blitzcrank_ManaBarrier.png,Mana Barrier,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Blitzcrank,RocketGrab,Rocket Grab,Q,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,
Blitzcrank,Overdrive,Overdrive,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blitzcrank,PowerFist,Power Fist,E,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,
Blitzcrank,StaticField,Static Field,R,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Brand,BrandP.png,Blaze,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand,BrandQ,Sear,Q,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,
Brand,BrandW,Pillar of Flame,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Brand,BrandE,Conflagration,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
Brand,BrandR,Pyroclasm,R,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
